Date;Kilde;Forfatter;NNPF_assosiert
onsdag 28. oktober 2020; https://www.aftenposten.no/norge/i/mBBPJg/doed-mann-funnet-i-volda-sentrum ; author: NTB ; NNPF: Sindre Molnes
mandag 19. oktober 2020; https://www.aftenposten.no/norge/i/x3P06X/doed-person-funnet-i-brannruiner-i-aremark ; author: NTB ; NNPF: Svein Brage Husdal
onsdag 7. oktober 2020; https://www.aftenposten.no/amagasinet/i/l00py/hun-oppdaget-blaamerker-paa-seks-uker-gamle-jakob-saa-gjorde-hun-det-faa-andre-helsesoestre-gjoer ; author: Lene Skogstrøm ; NNPF: Mats Flem Norman
fredag 14. august 2020; https://www.aftenposten.no/norge/i/9vjlQr/tingretten-politiet-faar-fortsatt-ta-beslag-i-tom-hagens-hus-i-loerenskog ; author: NTB ; NNPF: Christer Svane Andersson
fredag 7. august 2020; https://www.aftenposten.no/norge/i/QodvAq/mann-i-50-aarene-doede-etter-paragliderulykke-i-stjoerdal ; author: NTB ; NNPF: Solfrid Lægdheim
tirsdag 21. juli 2020; https://www.aftenposten.no/norge/i/kJA01a/politiet-etterforsker-voldshendelse-med-oeks-i-sunnfjord-som-drapsforsoek ; author: NTB ; NNPF: Eivind Hellesund
onsdag 15. juli 2020; https://www.aftenposten.no/norge/i/QodRo4/parkeringskaos-ved-preikestolen-folk-ble-bedt-om-aa-snu ; author: Kristian Oftedal Kvendseth ; NNPF: Olaug Bjørnsen
fredag 3. juli 2020; https://www.aftenposten.no/norge/i/pL7EBj/bombegruppen-destruerte-dynamitt-funnet-ved-grimstad ; author: NTB ; NNPF: Eyvind Formo
fredag 26. juni 2020; https://www.aftenposten.no/norge/i/GG4jdl/mann-paagrepet-for-aa-ha-varslet-naboer-om-domfelte-personer ; author: NTB ; NNPF: Kine Wesseltoft
torsdag 18. juni 2020; https://www.aftenposten.no/norge/i/2GQRel/jeg-aapnet-doeren-og-falt-bare-ned-men-min-foerste-tanke-var-barna ; author: Camilla Kilnes ; NNPF: Ellen Maria Brende
mandag 15. juni 2020; https://www.aftenposten.no/norge/i/y3ab8E/En-person-skadet-i-eksplosjon-i-Kristiansand ; author: Christina Stenbek Østtveit ; NNPF: Stian Pauschert
torsdag 21. mai 2020; https://www.aftenposten.no/norge/i/mRkvJl/prisen-paa-hasj-har-skutt-i-vaeret-flere-ungdommer-ber-om-hjelp ; author: 1 av 2Foto: Politiet ; NNPF: Kathrine Sæland Rotseth
onsdag 20. mai 2020; https://www.aftenposten.no/norge/i/8mybVE/politiet-tror-det-er-savnede-oerjan-solum-som-er-funnet ; author: NTB-Steinar Schjetne ; NNPF: Tor Inge Omland
tirsdag 19. mai 2020; https://www.aftenposten.no/norge/i/zGqar5/politiet-vet-ikke-om-noe-kriminelt-har-skjedd-etter-funn-av-doed-mann-i-arendal ; author: NTB-Lars Eide ; NNPF: Tor Inge Omland
søndag 17. mai 2020; https://www.aftenposten.no/norge/i/LAVzEp/mye-ungdomsfyll-og-braak-natt-til-17-mai ; author: NTB-Mette Estep ; NNPF: Toralv Skårland
tirsdag 14. januar 2020; https://www.aftenposten.no/norge/i/rAKpne/funnet-drept-med-stikkskader-fire-menn-siktet-i-dobbeltdrapssaken ; author: Ørjan Torheim ; NNPF: Tore Salvesen
tirsdag 7. januar 2020; https://www.aftenposten.no/norge/i/awd9Q4/mann-doede-etter-trafikkulykke-paa-e6-ved-son ; author: NTB ; NNPF: Svein Brage Husdal
tirsdag 26. november 2019; https://www.aftenposten.no/norge/i/4qQB2R/naa-faar-politiet-et-apparat-som-skal-avsloere-foerere-i-narkotikarus ; author: NTB ; NNPF: Roar Skjelbred Larsen
tirsdag 5. november 2019; https://www.aftenposten.no/norge/i/GGXezm/politiet-mener-toten-drapet-baerer-preg-av-planlegging ; author: NTB ; NNPF: John Eivind Melbye
fredag 11. oktober 2019; https://www.aftenposten.no/norge/i/AdWXR3/aktor-ber-om-ett-aar-og-ti-maaneders-fengsel-for-torpedo ; author: NTB ; NNPF: Terje Nedrebø Michelsen
mandag 16. september 2019; https://www.aftenposten.no/norge/i/MRW5xo/30-evakuert-etter-gassplager-vi-mistenker-at-noen-har-gjort-dette ; author: Erlend Olsbu ; NNPF: Stian Pauschert
onsdag 28. august 2019; https://www.aftenposten.no/meninger/debatt/i/BRq2Je/myndighetene-roter-med-narkotika-torstein-ulseroed ; author: Torstein UlserødJurist, Civita ; NNPF: Hans Martin Skovly
tirsdag 6. august 2019; https://www.aftenposten.no/norge/i/xP7B4R/politiaksjonen-paa-jaren-vi-kunne-ikke-forutse-at-dette-skulle-skje ; author: NTB ; NNPF: Geir Ballangrud Hermansen
søndag 28. juli 2019; https://www.aftenposten.no/norge/i/zGVpkw/norsk-politi-mener-aa-ha-avsloert-storsvindlere-fra-nigeria ; author: Harald Stolt-NielsenJournalist ; NNPF: Alf Almberg
fredag 19. juli 2019; https://www.aftenposten.no/norge/i/3JopwL/daarlig-oppfoersel-paa-byen-blir-dyrere ; author: NTB ; NNPF: Jørgen Ulseth Hoff
mandag 8. juli 2019; https://www.aftenposten.no/norge/i/VbaAdl/mann-siktet-for-grove-nettovergrep-mot-barn-paa-filippinene ; author: Thomas OlsenJournalist ; NNPF: Linn Rognli Hansen
onsdag 12. juni 2019; https://www.aftenposten.no/norge/i/9vrA5d/han-er-en-politimann-i-sin-beste-alder-han-kommer-aldri-mer-til-aa-fange-en-kriminell ; author: Per Anders JohansenJournalist ; NNPF: Roar Andersen
